#gene	sample7	sample8	sample9
anise	3366	2740	4419
apricot	3261	1143	2132
artichoke	1742	1935	1427
arugula	2037	2008	577
asparagus	1501	2992	4377
avocado	1054	978	2237
banana	1113	566	1066
basil	4	2	5
beet	151	210	178
blackberry	7568	4203	5014
blueberry	2943	2551	1188
broccoli	6158	5160	6106
butternut	220	239	266
cabbage	602	1070	386
cantaloupe	155	131	446
caraway	7550	5619	2429
carrot	1480	3799	2310
cauliflower	236	266	350
cayenne	4870	3622	3672
celery	4724	4027	2448
chard	2692	2006	3274
cherry	425	1187	1485
chestnut	694	1999	1624
chickpea	948	1143	691
cilantro	706	332	363
clementine	2656	4831	3902
coconut	11453	12086	3698
coriander	1172	2291	978
cranberry	5	18	15
cucumber	2005	3544	4153
currant	3876	5337	3489
eggplant	1434	2422	976
elderberry	1588	3531	3511
endive	37	40	47
fennel	308	514	313
fig	2359	2399	2318
garlic	4560	2027	3840
ginger	1496	973	3214
gooseberry	2380	1216	1848
grape	15157	7505	7331
grapefruit	8327	2741	4894
guava	1088	928	1412
honeydew	396	650	752
horseradish	806	1190	1400
huckleberry	854	1631	1397
juniper	3756	2371	1932
kiwi	297	959	982
kohlrabi	6815	4951	2589
lavender	4315	4946	2478
leek	1614	2059	2070
lentil	4405	7474	3729
lettuce	14511	16634	5102
lime	1568	371	1175
maize	300	644	198
mango	4993	1326	1307
melon	843	465	242
mulberry	2587	2426	5677
mushroom	261	373	646
mustard	506	217	576
nectarine	676	598	522
okra	1938	1500	1521
olive	4595	6426	2241
onion	1126	3327	2036
orange	1213	985	1127
oregano	349	140	401
papaya	874	1435	811
parsley	3837	6481	4723
parsnip	2390	1459	1896
pea	5814	2916	2878
peach	2411	3728	3127
pear	210	563	160
pepper	7223	8427	17011
persimmon	4305	4166	3494
pineapple	110	187	137
plantain	4558	5441	3114
plum	2934	2139	1901
pomegranate	2641	4733	3461
potato	2552	2592	2426
pumpkin	346	495	503
quince	2646	2656	3255
radish	413	223	982
raisin	744	970	676
raspberry	137	174	244
rhubarb	139	142	154
rosemary	2284	1747	1376
rutabaga	2422	1010	1232
sage	3523	4738	2469
scallion	5035	11049	4243
spinach	1733	4335	1725
strawberry	4133	7099	4264
tamarind	8387	11589	5192
tangerine	2075	2179	2067
thyme	2383	626	4263
tomato	3801	3047	13402
turnip	1411	1971	1412
wasabi	3080	1016	1537
watercress	3712	4434	4419
watermelon	6904	18927	10408
yam	5258	8638	3863
zucchini	960	878	744
OR4F5	5973	4232	5888
FO538757.2	5128	5297	4302
FO538757.1	214	155	241
OR4F29	1064	2736	1442
OR4F16	2666	3249	5118
SAMD11	9386	3961	6432
NOC2L	4138	2238	5576
KLHL17	2786	2825	3966
PLEKHN1	889	2038	1454
PERM1	246	805	341
HES4	6585	3085	4607
ISG15	1284	1482	2623
AGRN	575	730	690
RNF223	2446	1220	1123
C1orf159	3332	2195	6699
TTLL10	2082	2717	1383
TNFRSF18	3212	3499	960
TNFRSF4	4531	2807	4316
SDF4	248	354	541
B3GALT6	5355	3621	3748
FAM132A	2687	5257	4953
UBE2J2	5830	4793	4926
SCNN1D	439	219	207
ACAP3	105	67	44
PUSL1	4256	2006	1194
CPSF3L	4213	1889	4310
CPTP	228	258	63
TAS1R3	7601	4217	5509
DVL1	122	171	129
MXRA8	3064	1940	1871
AURKAIP1	1595	2449	1735
CCNL2	2372	3419	1840
MRPL20	1088	1408	2111
ANKRD65	3662	3241	1747
TMEM88B	1539	1612	2061
VWA1	2300	3126	1204
ATAD3C	1232	2191	2037
ATAD3B	7614	10696	18498
ATAD3A	1395	2853	716
TMEM240	2458	1612	968
SSU72	827	923	575
AL645728.1	4669	4857	10345
FNDC10	6189	3172	8325
MIB2	936	298	608
MMP23B	946	1070	790
CDK11B	3624	4045	1747
SLC35E2B	2289	5601	3161
CDK11A	3431	7706	11716
SLC35E2	18038	23871	16531
NADK	2270	6577	4774
GNB1	2334	2163	2211
CALML6	5231	14045	10863
TMEM52	613	1268	947
CFAP74	1725	1635	2132
GABRD	2934	594	1830
PRKCZ	266	167	409
FAAP20	1540	2071	2168
SKI	2727	1451	822
MORN1	17	21	17
RER1	5419	5475	3141
PEX10	641	1327	889
PLCH2	10106	5371	3327
PANK4	1642	3046	2094
HES5	2988	1337	1778
TNFRSF14	65	38	47
FAM213B	8300	4974	5678
MMEL1	1085	1306	371
TTC34	490	409	341
ACTRT2	37	28	15
PRDM16	2418	2177	2285
ARHGEF16	1816	7300	7031
MEGF6	3527	2450	3474
TPRG1L	506	427	281
WRAP73	565	150	437
TP73	446	321	579
CCDC27	414	407	449
SMIM1	1167	995	633
LRRC47	662	823	763
CEP104	94	87	65
DFFB	358	226	574
C1orf174	1097	2373	2959
AJAP1	739	740	421
NPHP4	7271	13185	14632
KCNAB2	170	512	392
CHD5	370	206	649
RPL22	1674	1384	831
RNF207	1415	657	1074
ICMT	1663	4434	3543
HES3	685	785	688
GPR153	868	458	988
ACOT7	4799	7043	6308
HES2	964	1143	880
ESPN	3103	3327	1013
TNFRSF25	1586	1457	2032
PLEKHG5	2343	1093	2170
NOL9	8504	5274	2758
TAS1R1	524	789	430
ZBTB48	5025	6570	4940
KLHL21	183	630	382
PHF13	2871	5051	9097
THAP3	623	3343	2668
DNAJC11	12984	10861	10836
CAMTA1	1073	701	918
VAMP3	150	368	72
PER3	2803	1758	2194
UTS2	2090	4276	3280
TNFRSF9	1311	3981	2083
PARK7	2468	4620	4058
ERRFI1	3408	3474	2865
SLC45A1	4651	3043	2977
RERE	792	2154	1133
ENO1	1511	1566	1531
CA6	254	146	166
SLC2A7	3918	1779	3218
SLC2A5	2408	2613	2963
GPR157	1728	3016	1097
H6PD	511	463	827
SPSB1	2664	5364	13928
SLC25A33	1539	2623	1223
TMEM201	2009	1143	2552
PIK3CD	125	668	693
CLSTN1	1162	1089	2226
AL357140.1	1716	1380	1799
CTNNBIP1	1023	1591	3951
LZIC	4849	3890	4956
NMNAT1	104	121	207
RBP7	923	246	317
UBE4B	2360	3237	2610
KIF1B	2172	1588	1699
PGD	1179	1367	2613
