#gene	sample1	sample2	sample3
anise	2347	3457	2779
apricot	2153	1590	843
artichoke	159470	90753	156418
arugula	102485	50059	106946
asparagus	140579	411043	175362
avocado	466	1805	1601
banana	75974	67359	102256
basil	4	3	5
beet	13659	7387	22049
blackberry	392411	212276	268576
blueberry	1231	1730	3262
broccoli	4276	3669	4021
butternut	167	98	56
cabbage	48957	42161	28591
cantaloupe	460	399	261
caraway	5430	5694	2783
carrot	1769	1616	605
cauliflower	310	165	320
cayenne	4409	6771	3205
celery	784	1562	2285
chard	167940	134792	135199
cherry	776	498	977
chestnut	185591	227599	150755
chickpea	114687	106029	42705
cilantro	418	554	233
clementine	2973	1821	2771
coconut	4933	9166	2703
coriander	113315	59315	62847
cranberry	1329	751	2424
cucumber	924	1529	1623
currant	364486	576649	574508
eggplant	39818	24977	59625
elderberry	197774	252501	266446
endive	25	11	19
fennel	21387	28564	17776
fig	205908	290127	278717
garlic	3588	1206	1879
ginger	97161	139401	297924
gooseberry	524	1234	1996
grape	656342	1110244	823934
grapefruit	5049	4656	3694
guava	935	540	442
honeydew	474	172	553
horseradish	22855	36553	51270
huckleberry	274	1315	577
juniper	184287	361524	278448
kiwi	34038	17978	48604
kohlrabi	437484	632259	451414
lavender	3526	4794	3939
leek	1242	519	1880
lentil	2201	4715	1216
lettuce	842190	964518	1100583
lime	705	638	831
maize	549	1045	329
mango	2050	4325	2333
melon	24699	28501	65350
mulberry	302579	166610	446955
mushroom	207	321	131
mustard	30552	34936	52160
nectarine	22081	39450	45254
okra	189627	111378	156616
olive	654245	464454	435113
onion	1184	2255	1427
orange	344	625	1182
oregano	157	150	302
papaya	101578	170133	128905
parsley	1321	3038	4448
parsnip	1467	1200	1311
pea	212895	240342	514997
peach	157343	325803	241278
pear	165	251	1092
pepper	273753	508517	607218
persimmon	282448	189087	158823
pineapple	15498	20416	8190
plantain	182179	185545	232171
plum	58458	98846	56242
pomegranate	645337	915450	734040
potato	208954	342662	205274
pumpkin	277	822	440
quince	264834	378339	311899
radish	26839	26864	20374
raisin	84128	147345	114903
raspberry	179	114	234
rhubarb	10898	12195	18091
rosemary	107843	115789	191011
rutabaga	722	3984	1857
sage	1221	1503	948
scallion	8056	4045	8120
spinach	1523	1148	767
strawberry	403033	246592	331241
tamarind	3034	5450	5258
tangerine	2018	1270	728
thyme	176911	327958	157187
tomato	660274	372307	202436
turnip	1439	1076	1212
wasabi	1640	3244	2976
watercress	209253	303686	333517
watermelon	817750	1140256	500707
yam	5737	4677	8964
zucchini	626	885	2213
OR4F5	4162	2927	2422
FO538757.2	1799	5389	5640
FO538757.1	158	258	293
OR4F29	1460	916	1917
OR4F16	2085	7464	3496
SAMD11	6967	5489	4495
NOC2L	2973	2870	3055
KLHL17	1018	1409	2544
PLEKHN1	1835	1002	1243
PERM1	339	916	671
HES4	2966	3768	4306
ISG15	1550	1049	742
AGRN	730	328	402
RNF223	1575	1348	1811
C1orf159	4612	4492	3731
TTLL10	1780	888	2276
TNFRSF18	1567	1996	1486
TNFRSF4	2652	2128	2254
SDF4	366	250	359
B3GALT6	2997	2089	2584
FAM132A	3569	2145	4561
UBE2J2	3880	5147	4633
SCNN1D	120	123	136
ACAP3	63	57	107
PUSL1	1650	1258	824
CPSF3L	1561	1997	2918
CPTP	127	353	274
TAS1R3	6012	3594	4609
DVL1	91	128	155
MXRA8	2631	800	2769
AURKAIP1	567	886	472
CCNL2	2638	1470	2151
MRPL20	1655	798	1769
ANKRD65	1075	1017	1662
TMEM88B	963	1890	2785
VWA1	1640	3980	2107
ATAD3C	1217	1926	1336
ATAD3B	7752	10421	7227
ATAD3A	737	1132	1114
TMEM240	1335	593	1124
SSU72	664	982	1160
AL645728.1	6281	3471	3620
FNDC10	4171	2840	4329
MIB2	403	280	668
MMP23B	383	842	383
CDK11B	3688	5263	2749
SLC35E2B	2697	2254	1572
CDK11A	2259	4218	6785
SLC35E2	14280	13158	9139
NADK	1503	2607	2615
GNB1	751	2194	1434
CALML6	9040	10576	7240
TMEM52	404	1055	370
CFAP74	1564	2293	1451
GABRD	1131	1758	1354
PRKCZ	193	148	155
FAAP20	1535	4249	1703
SKI	1124	789	1411
MORN1	66	19	34
RER1	3570	2360	4637
PEX10	815	83	594
PLCH2	6130	3940	4668
PANK4	3302	838	1618
HES5	921	1132	1220
TNFRSF14	35	25	38
FAM213B	3646	7732	7056
MMEL1	1470	837	1233
TTC34	681	564	426
ACTRT2	34	20	7
PRDM16	1747	1480	1931
ARHGEF16	4937	2181	1811
MEGF6	5110	2553	4947
TPRG1L	162	272	478
WRAP73	651	723	247
TP73	507	629	418
CCDC27	159	180	334
SMIM1	680	769	585
LRRC47	314	197	279
CEP104	125	55	84
DFFB	358	299	239
C1orf174	1400	2349	2240
AJAP1	499	799	374
NPHP4	9957	5325	10312
KCNAB2	199	152	199
CHD5	198	200	191
RPL22	887	925	887
RNF207	769	1727	658
ICMT	2333	4854	2215
HES3	394	362	324
GPR153	1104	489	796
ACOT7	2078	7824	6358
HES2	482	736	722
ESPN	3106	998	473
TNFRSF25	1892	1728	1117
PLEKHG5	1644	4047	2878
NOL9	3661	2985	5066
TAS1R1	203	658	623
ZBTB48	3871	3254	6099
KLHL21	451	451	392
PHF13	5098	3304	2585
THAP3	2979	1459	672
DNAJC11	14717	16223	12055
CAMTA1	847	262	1294
VAMP3	296	211	233
PER3	1594	2875	2490
UTS2	5326	2099	1262
TNFRSF9	836	1422	2118
PARK7	4411	4045	3677
ERRFI1	1094	1929	1320
SLC45A1	2962	5331	2620
RERE	2298	1902	1779
ENO1	870	746	1432
CA6	141	276	114
SLC2A7	3207	2527	3541
SLC2A5	810	2362	2503
GPR157	1655	2877	1339
H6PD	465	163	387
SPSB1	3275	11500	7182
SLC25A33	1495	1379	1582
TMEM201	1100	1221	2085
PIK3CD	288	578	247
CLSTN1	866	1932	1511
AL357140.1	1226	1115	1101
CTNNBIP1	1474	1335	1309
LZIC	3293	8647	1680
NMNAT1	230	103	184
RBP7	215	305	281
UBE4B	1740	3472	1538
